"region","regioncode","prefecture","commune","canton","code_canton","code","localite_name","localites","locationcode","idcentre","centres"
SAVANES,R5,CINKASSE,CINKASSE 2,BIANKOURI,CNT338,L1509,MAMPOATE MOSSI,MAMPOATE MOSSI-EPP ZEBEVI G/B,"000012920","12920",EPP ZEBEVI G/B
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1513,NONLENE,NONLENE-EPP GLIDJI,"000012921","12921",EPP GLIDJI
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1513,NONLENE,NONLENE-EPC GLIDJI,"000012922","12922",EPC GLIDJI
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1514,LOUEME,LOUEME-EPP AKAGANDJI G/A,"000012923","12923",EPP AKAGANDJI G/A
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1514,LOUEME,LOUEME-EPP AKAGANDJI G/B,"000012924","12924",EPP AKAGANDJI G/B
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1515,NOGO,NOGO-EPC ATTIKPO CONDJI,"000012925","12925",EPC ATTIKPO CONDJI
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1524,KODAGO,KODAGO-EPP KUTSCHENRITTER,"000012926","12926",EPP KUTSCHENRITTER
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1498,GBATIMANOU,GBATIMANOU-COLLEGE SACRE COEUR ADJIDO,"000012927","12927",COLLEGE SACRE COEUR ADJIDO
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1498,GBATIMANOU,GBATIMANOU-EPC SACRE-COEUR,"000012928","12928",EPC SACRE-COEUR
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1505,WOUMNOGO,WOUMNOGO-EPE METHODISTE AGBODRAFO,"000012929","12929",EPE METHODISTE AGBODRAFO
SAVANES,R5,CINKASSE,CINKASSE 2,BIANKOURI,CNT338,L1508,SAMOMONI,SAMOMONI-EPP YESSOUVITO,"000012930","12930",EPP YESSOUVITO
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1507,NAZIMECE,NAZIMECE-EPL SAINT RAPHAEL,"000012931","12931",EPL SAINT RAPHAEL
SAVANES,R5,CINKASSE,CINKASSE 2,BIANKOURI,CNT338,L1518,KOUNKONMONTE,KOUNKONMONTE-EPC FIO CONDJI,"000012932","12932",EPC FIO CONDJI
SAVANES,R5,CINKASSE,CINKASSE 2,BIANKOURI,CNT338,L1523,MOMPOATE MOBA I,MOMPOATE MOBA I-EPC ZOWLA,"000012933","12933",EPC ZOWLA
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1499,TANTCHINGOU I,TANTCHINGOU I-INSPECTION DU TRAVAIL,"000012935","12935",INSPECTION DU TRAVAIL
SAVANES,R5,CINKASSE,CINKASSE 2,BIANKOURI,CNT338,L1525,GBATEMANOU,GBATEMANOU-TRIBUNAL ZEBE,"000012937","12937",TRIBUNAL ZEBE
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1510,TANTCHINGOU II,TANTCHINGOU II-ECOLE PRIVEE FRANCO-ARABE RAHMANIYA (ECOLE CORANIQUE),"000012938","12938",ECOLE PRIVEE FRANCO-ARABE RAHMANIYA (ECOLE CORANIQUE)
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1501,ZONGO DANNORE,ZONGO DANNORE-GIPATO,"000012939","12939",GIPATO
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1504,POURENDE,POURENDE-EPP DE KOKOUSSE-KONDJI GROUPE AB HABITAT - ANEHO,"000012940","12940",EPP DE KOKOUSSE-KONDJI GROUPE AB HABITAT - ANEHO
SAVANES,R5,CINKASSE,CINKASSE 2,TIMBOU,CNT341,L1535,TABI III,TABI III-EPP ADAME,"000012941","12941",EPP ADAME
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1527,GOYAMBA,GOYAMBA-EPP AGBANAKIN,"000012942","12942",EPP AGBANAKIN
SAVANES,R5,CINKASSE,CINKASSE 2,BIANKOURI,CNT338,L1536,SAWALDJOAGUE I,SAWALDJOAGUE I-EPP AGBANDOUGNI,"000012943","12943",EPP AGBANDOUGNI
SAVANES,R5,CINKASSE,CINKASSE 1,CINKASSE,CNT335,L1530,BOUSSANGA 2,BOUSSANGA 2-EPP AGOKPAME,"000012944","12944",EPP AGOKPAME
